,baseline
2024-05-20,120855.5052199487
2024-05-21,121036.4455299068
2024-05-22,120926.59083237046
2024-05-23,119499.10650990278
2024-05-24,120892.6529884306
2024-05-28,121391.5313871431
2024-05-29,120950.5199879565
2024-05-30,118942.3654501318
2024-05-31,118730.51355930805
2024-06-03,119802.41269618736
2024-06-04,120169.22128146252
2024-06-05,122301.16823729941
2024-06-06,122790.76180659409
2024-06-07,122546.61649325764
2024-06-10,123391.03935858357
2024-06-11,125704.43823984366
2024-06-12,127000.85976626788
2024-06-13,126092.0186432664
2024-06-14,126202.4758442817
2024-06-17,127229.42321706883
2024-06-18,125970.93718518678
2024-06-20,126180.44862940333
2024-06-21,126644.2983513212
2024-06-24,126311.7006632546
2024-06-25,128065.98067599474
2024-06-26,129676.8815963513
2024-06-27,130966.06821854289
2024-06-28,128297.01114711665
2024-07-01,130163.74566235881
2024-07-02,131660.50412814092
2024-07-03,131668.59996548702
2024-07-05,135301.00570112263
2024-07-08,134454.3204281212
2024-07-09,134223.37973006404
2024-07-10,135701.29119668002
2024-07-11,131773.8805148951
2024-07-12,131084.90113273822
2024-07-15,131342.67327050414
2024-07-16,130440.87419383247
2024-07-17,126766.37075934876
2024-07-18,125850.17051895372
2024-07-19,125655.12497350156
2024-07-22,127050.63063979949
2024-07-23,127874.37819757705
2024-07-24,122653.57516465496
2024-07-25,120610.96426094949
2024-07-26,122057.74512288636
2024-07-29,122627.59813392977
2024-07-30,122247.41806684277
2024-07-31,123912.17845712953
2024-08-01,124267.91543207319
2024-08-02,120656.66702951425
2024-08-05,116080.95756104651
2024-08-06,117146.82110952646
2024-08-07,117269.76597524293
2024-08-08,119927.86086294691
2024-08-09,121285.41015234432
2024-08-12,121170.52817323797
2024-08-13,123421.83502127524
2024-08-14,122955.16303000948
2024-08-15,125291.50641114841
2024-08-16,124892.8653492305
2024-08-19,125841.48807033109
2024-08-20,126100.19934351259
2024-08-21,126511.73827789148
2024-08-22,124828.85223306021
2024-08-23,125303.58436666155
2024-08-26,124636.08407153367
2024-08-27,124098.12182001967
2024-08-28,123046.9739431958
2024-08-29,123644.84052806611
2024-08-30,125039.12234449114
2024-09-03,122222.68251393511
2024-09-04,121521.09780121503
2024-09-05,122620.11423724952
2024-09-06,119345.62698384818
2024-09-09,120078.54591017216
2024-09-10,120998.13745609454
2024-09-11,123186.37660670545
2024-09-12,125052.96059133613
2024-09-13,125495.61017131677
2024-09-16,125271.70476891991
2024-09-17,126153.21151927717
2024-09-18,126445.45381328807
2024-09-19,129779.48035283021
2024-09-20,130093.11976043707
2024-09-23,130039.51909995447
2024-09-24,129913.49871015307
2024-09-25,129946.39637837163
2024-09-26,129997.34471257807
2024-09-27,129571.86174602056
2024-09-30,130610.12382703446
2024-10-01,129593.59203765755
2024-10-02,129036.8692368472
2024-10-03,129088.29975145907
2024-10-04,130728.47538684116
2024-10-07,127822.14171412835
2024-10-08,129472.74838079573
2024-10-09,129852.82416902905
2024-10-10,129553.30688175233
2024-10-11,130230.51443930768
2024-10-14,130895.01736213465
2024-10-15,131001.25813620514
2024-10-16,129935.93859042981
2024-10-17,129778.37159457503
2024-10-18,130403.8697816173
2024-10-21,130626.64456287658
2024-10-22,131669.03605084057
2024-10-23,128890.37767825097
2024-10-24,129327.86978433146
2024-10-25,130484.45788559812
2024-10-28,131184.62223933724
2024-10-29,133135.316941039
2024-10-30,133642.03139466367
2024-10-31,129035.94037803762
2024-11-01,130469.30709440631
2024-11-04,129308.77006709349
2024-11-05,130876.59634315452
2024-11-06,133243.2853907264
2024-11-07,136191.10308827474
2024-11-08,135270.79008806526
2024-11-11,134483.67486688768
2024-11-12,135311.8500243749
2024-11-13,135541.36576386684
2024-11-14,134975.73509727936
2024-11-15,131013.88015512752
2024-11-18,131686.94486619276
2024-11-19,133010.08696922127
2024-11-20,132678.64827314994
2024-11-21,130576.92081319267
2024-11-22,130134.08724047043
2024-11-25,131898.92342420272
2024-11-26,134192.54225603497
2024-11-27,133388.58638889686
2024-11-29,134216.7142107812
2024-12-02,136686.9367033905
2024-12-03,138578.64522373147
2024-12-04,140032.37479871896
2024-12-05,140104.94751846258
2024-12-06,142159.34281221128
2024-12-09,142124.28547657275
2024-12-10,143705.29144696583
2024-12-11,146830.61827037184
2024-12-12,146239.42025345354
2024-12-13,145016.3276613499
2024-12-16,147543.72676878265
2024-12-17,147267.9433022908
2024-12-18,142024.94619102706
2024-12-19,142485.33276817919
2024-12-20,143011.24057598755
2024-12-23,144355.2364154952
2024-12-24,146099.35775887477
2024-12-26,145525.8837739956
2024-12-27,143684.7246558585
2024-12-30,141963.5674179652
2024-12-31,140721.1353587131
2025-01-02,140776.8101929306
2025-01-03,142167.81561309195
2025-01-06,145266.46388349505
2025-01-07,143018.87273524716
2025-01-08,142554.16345788975
2025-01-10,141211.0329082449
2025-01-13,140199.95979199657
2025-01-14,138890.34514416195
2025-01-15,142892.54733943523
2025-01-16,140678.38142016967
2025-01-17,142344.8010820619
2025-01-21,142669.39552567352
2025-01-22,144788.0511853545
2025-01-23,145546.16146283547
2025-01-24,146194.89221891048
2025-01-27,146019.31778310816
2025-01-28,149324.33713305095
2025-01-29,149175.99137396307
2025-01-30,148577.4254793165
2025-01-31,149398.61424655054
