,baseline
2024-05-07,130360.0693395687
2024-05-08,130295.53946798199
2024-05-09,130336.62391804587
2024-05-10,130377.78214471618
2024-05-13,130366.24133497849
2024-05-14,131314.11420733898
2024-05-15,133589.02183383863
2024-05-16,132950.5052258137
2024-05-17,132549.61499766674
2024-05-20,133509.38693391022
2024-05-21,133869.8630592609
2024-05-22,133627.44958243368
2024-05-23,135499.87474420283
2024-05-24,137585.05632289255
2024-05-28,140572.46309178456
2024-05-29,140524.68280229135
2024-05-30,137354.6526868861
2024-05-31,136878.10378985573
2024-06-03,139628.48150040582
2024-06-04,140431.39652766305
2024-06-05,144285.22077289753
2024-06-06,144194.24407136493
2024-06-07,143952.7266424145
2024-06-10,144968.52897311404
2024-06-11,146595.31763763708
2024-06-12,149160.24872901093
2024-06-13,149928.98765409665
2024-06-14,150806.5822190294
2024-06-17,151350.92138459976
2024-06-18,151894.0401736551
2024-06-20,150407.56471448878
2024-06-21,149337.21080222275
2024-06-24,146132.41313169402
2024-06-25,150355.83923984953
2024-06-26,151805.53400308345
2024-06-27,152045.86146455034
2024-06-28,149665.92208248572
2024-07-01,151484.5366640007
2024-07-02,152167.76426531203
2024-07-03,154115.88440635742
2024-07-05,156295.05222628303
2024-07-08,156409.63365306356
2024-07-09,157317.6408395412
2024-07-10,159770.8110622613
2024-07-11,153899.08900381724
2024-07-12,153961.6823782694
2024-07-15,153899.6477715164
2024-07-16,152428.35226490675
2024-07-17,146469.77817020545
2024-07-18,146779.0512659125
2024-07-19,145522.97666121612
2024-07-22,148627.27165972142
2024-07-23,148984.97485101942
2024-07-24,141748.19943467816
2024-07-25,139364.29355475437
2024-07-26,140839.86787655397
2024-07-29,140806.0432098944
2024-07-30,137769.2270980172
2024-07-31,143755.61036013413
2024-08-01,141349.36124504652
2024-08-02,137668.63912646982
2024-08-05,131495.44665146666
2024-08-06,133698.67870259943
2024-08-07,131953.19424096515
2024-08-08,136265.37207985166
2024-08-09,137320.5308559211
2024-08-12,138702.4545746471
2024-08-13,143042.46163654196
2024-08-14,143324.91676026475
2024-08-15,146926.01678918797
2024-08-16,147189.03205560555
2024-08-19,149855.17397841002
2024-08-20,149119.11297570646
2024-08-21,149894.63196512288
2024-08-22,146845.00083449474
2024-08-23,149188.9056737919
2024-08-26,147625.63275318575
2024-08-27,147814.073736507
2024-08-28,146007.22679624896
2024-08-29,143730.08061669112
2024-08-30,145507.96163584487
2024-09-03,139226.27283857507
2024-09-04,138022.17884682314
2024-09-05,139284.08177879883
2024-09-06,135039.61755043577
2024-09-09,136910.02680546016
2024-09-10,138240.42421390262
2024-09-11,143112.70933556673
2024-09-12,145443.3612097873
2024-09-13,145798.39246184705
2024-09-16,144808.88754691705
2024-09-17,145131.6354173051
2024-09-18,144606.86207752532
2024-09-19,148942.59979360783
2024-09-20,148556.78711366095
2024-09-23,148602.1019830989
2024-09-24,150092.53660235318
2024-09-25,151033.6155888607
2024-09-26,151259.4975565273
2024-09-27,149991.2641547373
2024-09-30,150870.3259535063
2024-10-01,148486.5989594478
2024-10-02,148662.92044609657
2024-10-03,150090.1190006855
2024-10-04,152173.327872744
2024-10-07,150720.42100017215
2024-10-08,153885.18573742142
2024-10-09,154118.85517340462
2024-10-10,154616.80092190992
2024-10-11,155177.6797037251
2024-10-14,156863.1299197116
2024-10-15,154712.4942838762
2024-10-16,155250.5979819151
2024-10-17,155538.054939241
2024-10-18,156429.6143229132
2024-10-21,158591.40502763158
2024-10-22,159418.53440716228
2024-10-23,155708.26342248206
2024-10-24,156367.01238343678
2024-10-25,157721.9117925157
2024-10-28,157952.37544023298
2024-10-29,159830.59637043314
2024-10-30,159590.10573950282
2024-10-31,153476.1880252031
2024-11-01,155584.32455183574
2024-11-04,154842.16557867557
2024-11-05,157484.57537507132
2024-11-06,161429.50045223554
2024-11-07,165017.71298048986
2024-11-08,163818.1792951863
2024-11-11,162342.02861720067
2024-11-12,164080.8119745258
2024-11-13,163572.9834956007
2024-11-14,163271.20623134825
2024-11-15,158315.37439428893
2024-11-18,158242.9261984811
2024-11-19,161719.68736165902
2024-11-20,161055.87330639083
2024-11-21,159574.38001594684
2024-11-22,157571.83108363152
2024-11-25,156990.2441611568
2024-11-26,159213.06964097667
2024-11-27,157996.29220035856
2024-11-29,159693.50591757568
2024-12-02,161883.53694169587
2024-12-03,164024.07917405467
2024-12-04,166924.41503328746
2024-12-05,166960.66635337353
2024-12-06,167765.85735936277
2024-12-09,166480.26794664256
2024-12-10,166503.32598693806
2024-12-11,170575.2663445544
2024-12-12,169400.76698232384
2024-12-13,167312.04694454183
2024-12-16,168639.4680535462
2024-12-17,167852.41332022162
2024-12-18,162971.0080277209
2024-12-19,163967.2760955811
2024-12-20,165796.89000284436
2024-12-23,168637.04730237412
2024-12-24,170280.84159857742
2024-12-26,169702.57505739227
2024-12-27,167157.63807829568
2024-12-30,165889.47260700737
2024-12-31,163746.56437792396
2025-01-02,165184.31747386156
2025-01-03,168475.51890326454
2025-01-06,172774.4254738123
2025-01-07,167686.0820410617
2025-01-08,167288.4410457459
2025-01-10,164715.50860184373
2025-01-13,162945.37607113246
2025-01-14,161345.25058621753
2025-01-15,166230.98653386798
2025-01-16,163461.7377553706
2025-01-17,166283.31126444263
2025-01-21,167633.66610933293
2025-01-22,171558.93144282833
2025-01-23,172242.6063283193
2025-01-24,171191.11478338722
2025-01-27,162668.9696445214
2025-01-28,169081.52251723353
2025-01-29,167126.9854667494
2025-01-30,166956.98392039436
2025-01-31,166056.12956088426
