date,symbol,router,aggregator,weights,mu,var
2023-01-06,META,diversity,precision,"{'heur': 0.5080205266295716, 'rl': 0.4919794733704283}",0.024603448830188186,0.0003338578771944203
2023-01-13,NVDA,diversity,precision,"{'heur': 0.5305682799890248, 'rl': 0.46943172001097516}",0.063453088926694,0.0010624201361877702
2023-01-13,MSFT,diversity,precision,"{'heur': 0.17841689740712732, 'rl': 0.8215831025928727}",-0.20147117537202192,0.04205846066299298
2023-01-13,AAPL,diversity,precision,"{'heur': 0.16709764575839992, 'rl': 0.8329023542416002}",-0.19145269521380595,0.04422450428376553
2023-01-13,GOOGL,diversity,precision,"{'heur': 0.16800975691515405, 'rl': 0.8319902430848459}",-0.17787830455364595,0.04399867948096581
2023-01-13,AMZN,diversity,precision,"{'heur': 0.4807436386082891, 'rl': 0.5192563613917109}",-0.02116070911677079,0.0005182630702500103
2023-01-13,META,diversity,precision,"{'heur': 0.457594207745941, 'rl': 0.5424057922540589}",-0.03512135326505199,0.0011576759498258188
2023-01-20,NVDA,diversity,precision,"{'heur': 0.8578268921831846, 'rl': 0.1421731078168153}",1.0856139057618746,0.04898158019451634
2023-01-20,MSFT,diversity,precision,"{'heur': 0.4951831663664628, 'rl': 0.5048168336335371}",-0.018699712541909046,0.00020697664085314268
2023-01-20,AAPL,diversity,precision,"{'heur': 0.4950951194170355, 'rl': 0.5049048805829646}",-0.008898651023317326,0.00018732184777952744
2023-01-20,GOOGL,diversity,precision,"{'heur': 0.5153362569582255, 'rl': 0.4846637430417745}",0.02874151508334013,0.0003004519755796518
2023-01-20,AMZN,diversity,precision,"{'heur': 0.4976758201453485, 'rl': 0.5023241798546516}",0.006240410506773735,0.00031672289389005764
2023-01-20,META,diversity,precision,"{'heur': 0.5494182660516039, 'rl': 0.45058173394839596}",0.0992784546284946,0.0013678939755940385
2023-01-27,NVDA,diversity,precision,"{'heur': 0.8881698737831437, 'rl': 0.11183012621685637}",1.2858803637819063,0.0527137828841951
2023-01-27,MSFT,diversity,precision,"{'heur': 0.5194680964402456, 'rl': 0.4805319035597544}",0.015881312642715206,0.0003836990848328996
2023-01-27,AAPL,diversity,precision,"{'heur': 0.5241202519890056, 'rl': 0.4758797480109944}",0.04025634083506442,0.00043965513372732257
2023-01-27,GOOGL,diversity,precision,"{'heur': 0.5343152693889403, 'rl': 0.4656847306110597}",0.05978383623872425,0.0007826313110647256
2023-01-27,AMZN,diversity,precision,"{'heur': 0.533647624954229, 'rl': 0.46635237504577104}",0.06444723588768857,0.0008148861562530341
2023-01-27,META,diversity,precision,"{'heur': 0.5352539802755364, 'rl': 0.46474601972446355}",0.07087510756494037,0.0007923646549399758
2023-02-03,NVDA,diversity,precision,"{'heur': 0.9124572218158488, 'rl': 0.08754277818415113}",1.4903802523858796,0.054440080903091013
2023-02-03,MSFT,diversity,precision,"{'heur': 0.8430045921843708, 'rl': 0.15699540781562918}",0.9764796419080997,0.04601395626096452
2023-02-03,AAPL,diversity,precision,"{'heur': 0.8066601800546017, 'rl': 0.19333981994539828}",0.8130896591040528,0.039086957617222286
2023-02-03,GOOGL,diversity,precision,"{'heur': 0.5772651697404042, 'rl': 0.42273483025959574}",0.1275512791937202,0.003240440476374813
2023-02-03,AMZN,diversity,precision,"{'heur': 0.5619229622684747, 'rl': 0.4380770377315253}",0.09658111248751663,0.0024411079310884915
2023-02-03,META,diversity,precision,"{'heur': 0.9075462995903131, 'rl': 0.09245370040968699}",1.4086541018058432,0.055008509539571315
2023-02-10,NVDA,diversity,precision,"{'heur': 0.9544488498680814, 'rl': 0.045551150131918496}",2.0339490047776736,0.05000805526165779
2023-02-10,MSFT,diversity,precision,"{'heur': 0.8380617094321169, 'rl': 0.16193829056788311}",0.9643043029385083,0.045140238325883306
2023-02-10,AAPL,diversity,precision,"{'heur': 0.8333733117370218, 'rl': 0.16662668826297827}",0.9564688250815113,0.04418971389127844
2023-02-10,GOOGL,diversity,precision,"{'heur': 0.13302953160989525, 'rl': 0.8669704683901046}",-0.15990388399237093,0.050223827025417646
2023-02-10,AMZN,diversity,precision,"{'heur': 0.3901072146513516, 'rl': 0.6098927853486484}",-0.1025785811431417,0.0063076779376188465
2023-02-10,META,diversity,precision,"{'heur': 0.9002197074496616, 'rl': 0.09978029255033828}",1.3896511634223,0.054788803034424384
2023-02-17,NVDA,diversity,precision,"{'heur': 0.9168204992707053, 'rl': 0.0831795007292948}",1.5459140242856062,0.0545503256856484
2023-02-17,MSFT,diversity,precision,"{'heur': 0.7534201901616641, 'rl': 0.24657980983833594}",0.6047642984901413,0.028635668514349264
2023-02-17,AAPL,diversity,precision,"{'heur': 0.8225706493952356, 'rl': 0.1774293506047643}",0.904061450227856,0.04218907952228584
2023-02-17,GOOGL,diversity,precision,"{'heur': 0.12125054885604465, 'rl': 0.8787494511439554}",-0.1562212901024725,0.05179551189428875
2023-02-17,AMZN,diversity,precision,"{'heur': 0.1255196931968413, 'rl': 0.8744803068031588}",-0.15617834848966416,0.05114996722965939
2023-02-17,META,diversity,precision,"{'heur': 0.8274290310592087, 'rl': 0.17257096894079127}",0.9329590376263648,0.04454811295071709
2023-02-24,NVDA,diversity,precision,"{'heur': 0.9174033369457669, 'rl': 0.08259666305423308}",1.5559072163674097,0.0548589537426386
2023-02-24,MSFT,diversity,precision,"{'heur': 0.13217453726044684, 'rl': 0.8678254627395531}",-0.14947210876583822,0.05001130985103435
2023-02-24,AAPL,diversity,precision,"{'heur': 0.3814975670013277, 'rl': 0.6185024329986722}",-0.10343924613524594,0.006891066117850534
2023-02-24,GOOGL,diversity,precision,"{'heur': 0.08426221119698929, 'rl': 0.9157377888030107}",-0.12936968333009666,0.05431555744623159
2023-02-24,AMZN,diversity,precision,"{'heur': 0.08986868435078406, 'rl': 0.910131315649216}",-0.13375482521422827,0.054187524050152584
2023-02-24,META,diversity,precision,"{'heur': 0.8188324638154021, 'rl': 0.18116753618459788}",0.8810604589727808,0.042917496493019
2023-03-03,NVDA,diversity,precision,"{'heur': 0.911994469532371, 'rl': 0.08800553046762911}",1.5136966739872917,0.05462388367769007
2023-03-03,MSFT,diversity,precision,"{'heur': 0.38823315218043297, 'rl': 0.6117668478195669}",-0.11607065719276881,0.006232664293138488
2023-03-03,AAPL,diversity,precision,"{'heur': 0.7322957883078759, 'rl': 0.26770421169212416}",0.5341900513270357,0.024474798881677137
2023-03-03,GOOGL,diversity,precision,"{'heur': 0.11174082040057327, 'rl': 0.8882591795994267}",-0.15550001120272186,0.05272976805540024
