date,symbol,router,aggregator,weights,mu,var
2023-01-27,META,risk,median,{'heur': 1.0},0.11682696835197086,1e-06
2023-02-03,NVDA,risk,median,{'heur': 1.0},1.6340212784884163,1e-06
2023-02-03,MSFT,risk,median,{'heur': 1.0},1.161189306993316,1e-06
2023-02-03,AAPL,risk,median,{'heur': 1.0},1.0064134678850847,1e-06
2023-02-03,GOOGL,risk,median,{'heur': 1.0},0.2197453646568677,1e-06
2023-02-03,AMZN,risk,median,{'heur': 1.0},0.17292873519255691,1e-06
2023-02-03,META,risk,median,{'heur': 1.0},1.5564714467217393,1e-06
2023-02-10,NVDA,risk,median,{'heur': 1.0},2.130955131579886,1e-06
2023-02-10,MSFT,risk,median,{'heur': 1.0},1.1506488764228437,1e-06
2023-02-10,AAPL,risk,median,{'heur': 1.0},1.1442251186268435,1e-06
2023-02-10,GOOGL,risk,median,{'heur': 1.0},-1.2974589896307802,1e-06
2023-02-10,AMZN,risk,median,{'heur': 1.0},-0.29335493415501634,1e-06
2023-02-10,META,risk,median,{'heur': 1.0},1.543289636083128,1e-06
2023-02-17,NVDA,risk,median,{'heur': 1.0},1.685650390227874,1e-06
2023-02-17,MSFT,risk,median,{'heur': 1.0},0.7975542432895225,1e-06
2023-02-17,AAPL,risk,median,{'heur': 1.0},1.094567931079857,1e-06
2023-02-17,GOOGL,risk,median,{'heur': 1.0},-1.3745621779176846,1e-06
2023-02-17,AMZN,risk,median,{'heur': 1.0},-1.3444370358309352,1e-06
2023-02-17,META,risk,median,{'heur': 1.0},1.1223143180502357,1e-06
2023-02-24,NVDA,risk,median,{'heur': 1.0},1.6951077490130955,1e-06
2023-02-24,MSFT,risk,median,{'heur': 1.0},-1.2926647692688882,1e-06
2023-02-24,AAPL,risk,median,{'heur': 1.0},-0.3126400596729394,1e-06
2023-02-24,GOOGL,risk,median,{'heur': 1.0},-1.6587045350429852,1e-06
2023-02-24,AMZN,risk,median,{'heur': 1.0},-1.6087751101233683,1e-06
2023-02-24,META,risk,median,{'heur': 1.0},1.0723589016310757,1e-06
2023-03-03,NVDA,risk,median,{'heur': 1.0},1.6577409569183017,1e-06
2023-03-03,MSFT,risk,median,{'heur': 1.0},-0.3108092729873435,1e-06
2023-03-03,AAPL,risk,median,{'heur': 1.0},0.722763918285285,1e-06
2023-03-03,GOOGL,risk,median,{'heur': 1.0},-1.4445035715043528,1e-06
2023-03-03,AMZN,risk,median,{'heur': 1.0},-1.462692521676147,1e-06
2023-03-03,META,risk,median,{'heur': 1.0},1.1091236276185195,1e-06
2023-03-10,NVDA,risk,median,{'heur': 1.0},1.5772024217693277,1e-06
2023-03-10,MSFT,risk,median,{'heur': 1.0},-1.5697888637796755,1e-06
2023-03-10,AAPL,risk,median,{'heur': 1.0},-0.3142088266272593,1e-06
2023-03-10,GOOGL,risk,median,{'heur': 1.0},-1.6409201525328732,1e-06
2023-03-10,AMZN,risk,median,{'heur': 1.0},-1.633538205393794,1e-06
2023-03-10,META,risk,median,{'heur': 1.0},0.935071569299337,1e-06
2023-03-17,NVDA,risk,median,{'heur': 1.0},2.0305217913244005,1e-06
2023-03-17,MSFT,risk,median,{'heur': 1.0},0.8775577795559513,1e-06
2023-03-17,AAPL,risk,median,{'heur': 1.0},1.0238660869563248,1e-06
2023-03-17,GOOGL,risk,median,{'heur': 1.0},0.05389239454406764,1e-06
2023-03-17,AMZN,risk,median,{'heur': 1.0},-0.03536448382700981,1e-06
2023-03-17,META,risk,median,{'heur': 1.0},1.9866455364968154,1e-06
2023-03-24,NVDA,risk,median,{'heur': 1.0},2.1452605601403816,1e-06
2023-03-24,MSFT,risk,median,{'heur': 1.0},1.7675790119220856,1e-06
2023-03-24,AAPL,risk,median,{'heur': 1.0},1.742317493928972,1e-06
2023-03-24,GOOGL,risk,median,{'heur': 1.0},1.2131652379121565,1e-06
2023-03-24,AMZN,risk,median,{'heur': 1.0},0.0372287034803185,1e-06
2023-03-24,META,risk,median,{'heur': 1.0},2.141510863373897,1e-06
2023-03-31,NVDA,risk,median,{'heur': 1.0},2.147569969837847,1e-06
2023-03-31,MSFT,risk,median,{'heur': 1.0},1.8398262630035753,1e-06
2023-03-31,AAPL,risk,median,{'heur': 1.0},1.850947521364747,1e-06
2023-03-31,GOOGL,risk,median,{'heur': 1.0},1.1818781633654452,1e-06
2023-03-31,AMZN,risk,median,{'heur': 1.0},0.17759305041253634,1e-06
2023-03-31,META,risk,median,{'heur': 1.0},1.9924505155949752,1e-06
2023-04-14,NVDA,risk,median,{'heur': 1.0},1.8538875838184363,1e-06
2023-04-14,MSFT,risk,median,{'heur': 1.0},1.485656934436881,1e-06
2023-04-14,AAPL,risk,median,{'heur': 1.0},1.4968681016340804,1e-06
2023-04-14,GOOGL,risk,median,{'heur': 1.0},1.204460822726296,1e-06
2023-04-14,AMZN,risk,median,{'heur': 1.0},-0.24138582007009998,1e-06
2023-04-14,META,risk,median,{'heur': 1.0},1.5786684034305734,1e-06
2023-04-21,NVDA,risk,median,{'heur': 1.0},1.7269858838224104,1e-06
2023-04-21,MSFT,risk,median,{'heur': 1.0},1.450121995174428,1e-06
2023-04-21,AAPL,risk,median,{'heur': 1.0},1.4410491248417192,1e-06
2023-04-21,GOOGL,risk,median,{'heur': 1.0},0.7428533871535523,1e-06
2023-04-21,AMZN,risk,median,{'heur': 1.0},0.09125827055305934,1e-06
2023-04-21,META,risk,median,{'heur': 1.0},1.671905991238836,1e-06
2023-04-28,NVDA,risk,median,{'heur': 1.0},1.6438627660270233,1e-06
2023-04-28,MSFT,risk,median,{'heur': 1.0},1.8233245934470579,1e-06
2023-04-28,AAPL,risk,median,{'heur': 1.0},1.432398872849535,1e-06
2023-04-28,GOOGL,risk,median,{'heur': 1.0},0.7906796173799835,1e-06
2023-04-28,AMZN,risk,median,{'heur': 1.0},0.023701555454565475,1e-06
2023-04-28,META,risk,median,{'heur': 1.0},1.9108507728865782,1e-06
2023-05-05,NVDA,risk,median,{'heur': 1.0},1.9761349495961507,1e-06
2023-05-05,MSFT,risk,median,{'heur': 1.0},1.817342602533881,1e-06
2023-05-05,AAPL,risk,median,{'heur': 1.0},1.7246252186943667,1e-06
2023-05-05,GOOGL,risk,median,{'heur': 1.0},0.7275077933607008,1e-06
2023-05-05,AMZN,risk,median,{'heur': 1.0},-0.2514869034058369,1e-06
2023-05-05,META,risk,median,{'heur': 1.0},2.0045873581632936,1e-06
2023-05-12,NVDA,risk,median,{'heur': 1.0},1.6513161343978335,1e-06
2023-05-12,MSFT,risk,median,{'heur': 1.0},1.7768264499572761,1e-06
2023-05-12,AAPL,risk,median,{'heur': 1.0},1.7332275429068968,1e-06
2023-05-12,GOOGL,risk,median,{'heur': 1.0},1.6266118504136353,1e-06
2023-05-12,AMZN,risk,median,{'heur': 1.0},1.1471765251170731,1e-06
2023-05-12,META,risk,median,{'heur': 1.0},1.6721571733879417,1e-06
2023-05-19,NVDA,risk,median,{'heur': 1.0},2.0679337720518576,1e-06
2023-05-19,MSFT,risk,median,{'heur': 1.0},1.6388853694291377,1e-06
2023-05-19,AAPL,risk,median,{'heur': 1.0},1.7281050042456856,1e-06
2023-05-19,GOOGL,risk,median,{'heur': 1.0},1.7034028797921232,1e-06
2023-05-19,AMZN,risk,median,{'heur': 1.0},1.2024959332809801,1e-06
2023-05-19,META,risk,median,{'heur': 1.0},1.8699656039824335,1e-06
2023-05-26,NVDA,risk,median,{'heur': 1.0},2.130964272598369,1e-06
2023-05-26,MSFT,risk,median,{'heur': 1.0},1.6751357229879404,1e-06
2023-05-26,AAPL,risk,median,{'heur': 1.0},1.435104772906992,1e-06
2023-05-26,GOOGL,risk,median,{'heur': 1.0},1.738830080959686,1e-06
2023-05-26,AMZN,risk,median,{'heur': 1.0},1.2314063270532705,1e-06
