,baseline
2024-12-16,120206.17849374555
2024-12-17,119320.18617124934
2024-12-18,115665.15329088255
2024-12-19,115340.44187117222
2024-12-20,116981.58492587265
2024-12-23,117160.85256011988
2024-12-24,118188.01364703008
2024-12-26,118261.1474833887
2024-12-27,117289.51416852213
2024-12-30,116139.9648658823
2024-12-31,116144.5895538137
2025-01-02,115977.27086479307
2025-01-03,117225.80262224004
2025-01-06,117217.3469903655
2025-01-07,116640.28797941945
2025-01-08,116933.87774089785
2025-01-10,115236.51558504239
2025-01-13,115904.6475246638
2025-01-14,116923.3044469601
2025-01-15,118195.15467471065
2025-01-16,119147.15013336035
2025-01-17,119752.1175086781
2025-01-21,121294.87895772081
2025-01-22,121027.27062962617
2025-01-23,121614.08170138148
2025-01-24,121516.7997581285
2025-01-27,120771.66355830179
2025-01-28,120534.79529367997
2025-01-29,120276.91009752237
2025-01-30,121682.39089101584
2025-01-31,120591.96863714178
